Condo,Size,Rooms,Toilets,Suites,Parking,Elevator,Furnished,Swimming Pool,New,District,Negotiation Type,Property Type,Latitude,Longitude,Price
574,79,2,2,1,2,1,0,0,0,Cambuci/São Paulo,rent,apartment,-23.567583,-46.624744,4400
450,63,2,2,1,1,0,0,0,0,Saúde/São Paulo,sale,apartment,-23.650478,-46.600536,263000
236,43,1,2,1,1,0,0,0,0,Vila Maria/São Paulo,rent,apartment,-23.511107,-46.592571,850
3300,180,3,2,1,2,0,0,0,0,Jardim Paulista/São Paulo,rent,apartment,-23.5585572,-46.6626444,8000
620,58,2,1,0,1,1,0,1,0,Barra Funda/São Paulo,rent,apartment,-23.5289137,-46.6645204,2950
1250,150,3,2,1,1,0,0,0,0,Jardim Paulista/São Paulo,sale,apartment,-23.5665474,-46.6628928,1290000
400,63,3,2,1,1,0,0,1,0,Vila Guilherme/São Paulo,sale,apartment,-23.5196028,-46.6014367,349240
1000,120,3,2,1,2,0,1,1,0,Pinheiros/São Paulo,rent,apartment,-23.5577992,-46.6902498,6500
1533,234,4,5,3,3,1,0,1,0,Jaguaré/São Paulo,sale,apartment,-23.55538,-46.737744,1990000
0,50,2,1,0,1,1,0,0,0,Rio Pequeno/São Paulo,rent,apartment,-23.5650745,-46.7506462,1600
250,45,2,1,0,1,0,0,1,0,Jaçanã/São Paulo,sale,apartment,-23.4777783,-46.5734555,281161
543,50,2,2,1,1,0,0,1,0,Mooca/São Paulo,sale,apartment,-23.5481,-46.609283,360000
520,45,2,1,0,0,1,0,0,0,Consolação/São Paulo,sale,apartment,-23.5488571,-46.647385,320000
15,40,2,1,0,0,0,0,0,0,Lapa/São Paulo,rent,apartment,0.0,0.0,1400
600,96,3,3,2,1,0,0,1,0,Vila Matilde/São Paulo,sale,apartment,-23.5355534,-46.5235392,529000
1350,96,2,2,1,1,1,0,0,0,Itaim Bibi/São Paulo,sale,apartment,-23.579226,-46.672822,1200000
0,160,3,3,1,2,0,0,0,0,Santana/São Paulo,sale,apartment,-23.500231,-46.62651,900000
450,65,2,2,1,1,0,0,1,0,Belém/São Paulo,sale,apartment,-23.545925,-46.585984,474000
640,44,1,2,1,1,0,0,0,0,República/São Paulo,rent,apartment,-23.5411413,-46.6424288,2500
200,58,3,1,0,1,0,0,1,0,São Mateus/São Paulo,sale,apartment,-23.6013711,-46.4632163,240000
550,38,1,1,0,1,0,0,1,0,Bela Vista/São Paulo,sale,apartment,-23.560349,-46.6421618,380000
500,61,3,2,1,1,0,0,0,0,Pari/São Paulo,sale,apartment,-23.52472,-46.603524,450000
1250,117,3,2,1,2,0,0,1,0,Tatuapé/São Paulo,rent,apartment,-23.5002428,-46.6276118,2000
800,69,1,2,1,1,0,1,0,0,Brooklin/São Paulo,rent,apartment,-23.599064,-46.688715,6000
130,60,2,2,1,1,0,0,0,0,Artur Alvim/São Paulo,sale,apartment,-23.545223,-46.479633,180000
430,50,2,2,1,1,1,0,0,0,Pedreira/São Paulo,sale,apartment,-23.690892,-46.67809,295000
380,65,3,2,1,1,1,0,1,0,Cidade Ademar/São Paulo,sale,apartment,-23.668748,-46.673438,320000
497,48,2,2,1,1,0,0,0,0,Carrão/São Paulo,rent,apartment,-23.558904,-46.539729,1200
400,50,2,1,0,1,0,0,1,0,Aricanduva/São Paulo,rent,apartment,-23.5635444,-46.4799482,1050
500,54,2,1,0,1,0,0,1,0,Limão/São Paulo,rent,apartment,-23.5003866,-46.6827647,1200
320,49,2,1,0,1,0,0,0,0,Parque do Carmo/São Paulo,sale,apartment,-23.5577577,-46.4464287,170000
500,65,2,2,1,1,0,0,1,0,Tatuapé/São Paulo,rent,apartment,0.0,0.0,1450
513,57,2,2,1,1,1,0,1,0,Vila Matilde/São Paulo,rent,apartment,-23.533511,-46.521438,1200
0,89,3,2,1,2,0,0,0,0,Cursino/São Paulo,sale,apartment,-23.60049,-46.619175,660000
270,47,2,2,1,1,0,0,1,0,São Mateus/São Paulo,rent,apartment,-23.593369,-46.469455,1100
550,87,3,2,1,2,0,0,0,0,Moema/São Paulo,rent,apartment,-23.614059,-46.6631349,3500
580,85,3,2,1,1,0,1,1,0,Lapa/São Paulo,rent,apartment,-23.5297827,-46.7043686,3000
750,67,2,2,1,1,1,0,0,0,Freguesia do Ó/São Paulo,rent,apartment,-23.501245,-46.697317,1100
2900,289,4,5,4,4,0,0,1,0,Morumbi/São Paulo,rent,apartment,-23.6295929,-46.7335425,4000
1345,163,3,4,3,3,0,1,1,0,Campo Grande/São Paulo,rent,apartment,-23.6793291,-46.6919327,5300
618,68,2,2,0,1,0,0,1,0,Butantã/São Paulo,rent,apartment,-23.5557009,-46.7582671,2350
740,55,2,1,0,1,0,0,1,0,Mooca/São Paulo,sale,apartment,-23.5585178,-46.5948037,320000
550,56,2,2,1,1,1,0,0,0,Rio Pequeno/São Paulo,sale,apartment,-23.565814,-46.74737,320000
1024,79,3,2,0,1,0,0,0,0,Vila Andrade/São Paulo,rent,apartment,-23.6272551,-46.7367226,1900
2900,170,3,2,1,1,0,0,1,0,Jardim Paulista/São Paulo,rent,apartment,-23.5640691,-46.6535635,6000
700,46,2,2,1,1,0,0,0,0,Carrão/São Paulo,sale,apartment,-23.548712,-46.529097,260000
220,52,3,1,0,1,0,0,1,0,Vila Curuçá/São Paulo,sale,apartment,-26.9225117,-49.0607072,215000
813,78,3,2,1,2,0,0,1,0,Alto de Pinheiros/São Paulo,sale,apartment,-23.540783,-46.7151159,820000
590,70,3,2,1,1,0,0,1,0,Butantã/São Paulo,rent,apartment,0.0,0.0,2200
2371,220,4,3,2,4,0,0,1,0,Alto de Pinheiros/São Paulo,rent,apartment,-23.553929,-46.714272,12000
465,46,3,2,1,1,0,0,1,0,Butantã/São Paulo,rent,apartment,-23.5868686,-46.7659398,2350
660,97,3,2,1,1,1,0,0,0,Perdizes/São Paulo,rent,apartment,-23.537515,-46.686156,2200
786,94,3,2,1,1,0,0,1,0,Vila Olimpia/São Paulo,sale,apartment,-23.592874,-46.685373,1100000
786,74,1,2,1,1,1,1,0,0,Alto de Pinheiros/São Paulo,rent,apartment,-23.5410804,-46.6982833,4900
420,50,2,2,1,1,1,0,0,0,Brás/São Paulo,rent,apartment,-23.548979,-46.618222,1300
712,68,2,2,1,1,0,0,0,0,Jabaquara/São Paulo,rent,apartment,-23.631696,-46.640183,1600
